Language,Country_Region,Locale_ID
Afrikaans,South Africa,1078
Albanian,Albania,1052
Arabic,Algeria,5121
Arabic,Bahrain,15361
Arabic,Egypt,3073
Arabic,Iraq,2049
Arabic,Jordan,11265
Arabic,Kuwait,13313
Arabic,Lebanon,12289
Arabic,Libya,4097
Arabic,Morocco,6145
Arabic,Oman,8193
Arabic,Qatar,16385
Arabic,Saudi Arabia,1025
Arabic,Syria,10241
Arabic,Tunisia,7169
Arabic,U.A.E.,14337
Arabic,Yemen,9217
Armenian,Armenia,1067
Azeri (Cyrillic),Azerbaijan,2092
Azeri (Latin),Azerbaijan,1068
Basque,Spain,1069
Belarusian,Belarus,1059
Bulgarian,Bulgaria,1026
Catalan,Spain,1027
Chinese,Hong Kong S.A.R.,3076
Chinese,Macau S.A.R.,5124
Chinese,People's Republic of China,2052
(Default Chinese-Simplified Locale ID),,
Chinese,Singapore,4100
Chinese,Taiwan,1028
Croatian,Croatia,1050
Czech,Czech Republic,1029
Danish,Denmark,1030
Divehi,Maldives,1125
Dutch,Belgium,2067
Dutch,Netherlands,1043
English,Australia,3081
English,Belize,10249
English,Canada,4105
English,Caribbean,9225
English,Ireland,6153
English,Jamaica,8201
English,New Zealand,5129
English,Republic of the Philippines,13321
English,South Africa,7177
English,Trinidad and Tobago,11273
English,United Kingdom,2057
English,United States,1033
(Default English Locale ID),,
English,Zimbabwe,12297
Estonian,Estonia,1061
Faroese,Faeroe Islands,1080
Farsi,Iran,1065
Finnish,Finland,1035
French,Belgium,2060
French,Canada,3084
French,France,1036
(Default French Locale ID),,
French,Luxembourg,5132
French,Principality of Monaco,6156
French,Switzerland,4108
FYRO Macedonian,Former Yugoslav Republic of Macedonia,1071
Galician,Spain,1110
Georgian,Georgia,1079
German,Austria,3079
German,Germany,1031
(Default German Locale ID),,
German,Liechtenstein,5127
German,Luxembourg,4103
German,Switzerland,2055
Greek,Greece,1032
Gujarati,India,1095
Hebrew,Israel,1037
Hindi,India,1081
Hungarian,Hungary,1038
Icelandic,Iceland,1039
Indonesian,Indonesia,1057
Italian,Italy,1040
(Default Italian Locale ID),,
Italian,Switzerland,2064
Japanese,Japan,1041
Kannada,India,1099
Kazakh,Kazakhstan,1087
Konkani,India,1111
Korean,Korea,1042
Kyrgyz,Kyrgyzstan,1088
Latvian,Latvia,1062
Lithuanian,Lithuania,1063
Malay,Brunei Darussalam,2110
Malay,Malaysia,1086
Marathi,India,1102
Mongolian,Mongolia,1104
Norwegian (Bokm_l),Norway,1044
Norwegian (Nynorsk),Norway,2068
Polish,Poland,1045
Portuguese,Brazil,1046
Portuguese,Portugal,2070
Punjabi,India,1094
Romanian,Romania,1048
Russian,Russia,1049
Sanskrit,India,1103
Serbian (Cyrillic),Serbia and Montenegro,3098
Serbian (Latin),Serbia and Montenegro,2074
Slovak,Slovakia,1051
Slovenian,Slovenia,1060
Spanish,Argentina,11274
Spanish,Bolivia,16394
Spanish,Chile,13322
Spanish,Colombia,9226
Spanish,Costa Rica,5130
Spanish,Dominican Republic,7178
Spanish,Ecuador,12298
Spanish,El Salvador,17418
Spanish,Guatemala,4106
Spanish,Honduras,18442
Spanish,Mexico,2058
Spanish,Nicaragua,19466
Spanish,Panama,6154
Spanish,Paraguay,15370
Spanish,Peru,10250
Spanish,Puerto Rico,20490
Spanish,Spain,1034
Spanish,Uruguay,14346
Spanish,Venezuela,8202
Spanish - Modern Sort,Spain,3082
(Default Spanish Locale ID),,
Swahili,Kenya,1089
Swedish,Finland,2077
Swedish,Sweden,1053
Syriac,Syria,1114
Tamil,India,1097
Tatar,Tatarstan,1092
Telugu,India,1098
Thai,Thailand,1054
Turkish,Turkey,1055
Ukrainian,Ukraine,1058
Urdu,Islamic Republic of Pakistan,1056
Uzbek (Cyrillic),Uzbekistan,2115
Uzbek (Latin),Uzbekistan,1091
Vietnamese,Viet Nam,1066
Welsh,United Kingdom,1106